City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
kungurtug,2,RU,1595078465,57,50.6,97.52,60.35,4.65
bethel,1,US,1595078465,73,41.37,-73.41,75.2,3.96
ormara,0,PK,1595078400,80,25.21,64.64,88.88,9.93
ribeira grande,40,PT,1595077872,57,38.52,-28.7,75.2,12.75
sibu,40,MY,1595077939,88,2.3,111.82,80.6,2.24
kommunar,20,RU,1595078465,38,59.62,30.39,77,17.9
alofi,14,NU,1595078466,88,-19.06,-169.92,73.4,5.82
kieta,100,PG,1595078466,78,-6.22,155.63,78.82,2.71
ancud,90,CL,1595077880,100,-41.87,-73.82,51.01,13.87
lebu,100,CL,1595078466,87,-37.62,-73.65,53.44,19.91
manokwari,82,ID,1595078209,78,-0.87,134.08,79.41,2.68
le pont-de-claix,5,FR,1595078467,64,45.12,5.71,69.01,1.99
matara,82,LK,1595078467,80,5.95,80.54,81.77,9.93
nantucket,90,US,1595078467,94,41.28,-70.1,70,3.31
albemarle,1,US,1595078467,88,35.35,-80.2,80.01,3.36
mahebourg,40,MU,1595078467,64,-20.41,57.7,71.6,17.22
archidona,66,EC,1595078468,64,-0.92,-77.8,70.95,1.07
narsaq,40,GL,1595077990,36,60.92,-46.05,62.6,3.36
muros,0,ES,1595078468,33,42.78,-9.06,102,4.7
dasoguz,0,TM,1595078468,13,41.84,59.97,104,9.17
miracema do tocantins,0,BR,1595078469,42,-9.56,-48.4,83.91,12.35
concepcion del oro,100,MX,1595078470,66,24.63,-101.42,60.03,2.86
camacha,20,PT,1595078470,73,33.08,-16.33,73.4,16.11
evensk,100,RU,1595077902,68,61.95,159.23,51.31,9.37
yar-sale,100,RU,1595078470,88,66.83,70.83,52.84,15.01
urengoy,100,RU,1595077988,73,65.97,78.37,57.13,7.96
grindavik,75,IS,1595077880,71,63.84,-22.43,51.8,31.09
carutapera,5,BR,1595078470,80,-1.2,-46.02,81.75,4.14
thompson,75,CA,1595077888,82,55.74,-97.86,60.8,5.82
ust-nera,100,RU,1595078471,39,64.57,143.2,55.74,2.8
mehamn,100,NO,1595077874,82,71.04,27.85,52.39,12.28
chistoye,75,RU,1595078471,68,56.54,43,71.01,8.95
kushima,75,JP,1595078471,94,31.46,131.23,75.2,4.7
volot,76,RU,1595078471,50,57.93,30.7,76.55,5.28
wanaka,0,NZ,1595078472,87,-44.7,169.15,32,1.99
pontianak,100,ID,1595078472,88,-0.03,109.33,77.23,1.74
kapaa,20,US,1595078472,83,22.08,-159.32,78.8,9.17
iranshahr,40,IR,1595078472,13,27.2,60.68,113,11.41
havelock,1,US,1595078472,37,34.88,-76.9,84.99,5.82
matelandia,0,BR,1595078473,60,-25.24,-54,71.6,16.11
tocache,38,PE,1595078474,81,-8.18,-76.51,70.41,1.16
clyde river,75,CA,1595078474,93,70.47,-68.59,37.4,11.41
rocha,100,UY,1595078474,92,-34.48,-54.33,61.32,8.1
daru,100,PG,1595078474,85,-9.08,143.21,75.6,14.65
new waterford,100,CA,1595078474,85,46.25,-60.08,64,8.01
mys shmidta,,RU,,,,,,
cam ranh,20,VN,1595078475,79,11.92,109.16,86,4.7
buchanan,75,LR,1595077688,74,5.88,-10.05,84.2,6.93
okhotsk,100,RU,1595078476,91,59.38,143.3,56.19,4.9
mar del plata,90,AR,1595078429,100,-38,-57.56,54,5.82
yelizovo,0,RU,1595078476,87,53.19,158.38,57.2,2.24
ichinohe,90,JP,1595078476,93,40.21,141.3,64.4,8.05
tongliao,99,CN,1595078476,45,43.61,122.27,77.79,11.72
felidhoo,,MV,,,,,,
kupino,0,RU,1595078477,57,54.37,77.3,76.95,11.45
mount gambier,75,AU,1595078477,93,-37.83,140.77,48.2,9.17
saint-louis,55,SN,1595078477,49,16.33,-15,93.2,2.24
karaul,,RU,,,,,,
khandyga,94,RU,1595078477,65,62.67,135.6,73.89,3.6
acapulco,40,MX,1595078356,88,16.86,-99.89,78.8,2.24
kloulklubed,75,PW,1595078478,88,7.04,134.26,78.8,3.69
ust-maya,70,RU,1595078478,68,60.42,134.53,73.27,4.09
havre-saint-pierre,90,CA,1595078479,88,50.23,-63.6,62.6,4.7
cherskiy,0,RU,1595077885,80,68.75,161.3,52.77,4.85
hihifo,,TO,,,,,,
katsuura,100,JP,1595078181,93,35.13,140.3,72,18.39
teguldet,0,RU,1595078480,58,57.31,88.17,66.51,3.18
saleaula,,WS,,,,,,
poum,0,NC,1595078468,64,-20.23,164.02,70.72,8.52
henties bay,0,NA,1595078481,21,-22.12,14.28,82.99,5.01
cholet,43,FR,1595078470,41,47.17,-1,82,5.37
wahran,,DZ,,,,,,
luang prabang,75,LA,1595078481,62,19.89,102.13,89.6,2.24
inta,56,RU,1595078481,64,66.03,60.17,72.41,11.77
coxim,0,BR,1595078481,30,-18.51,-54.76,82.24,10.22
nikolskoye,20,RU,1595078481,38,59.7,30.79,77,17.9
nome,1,US,1595077949,81,64.5,-165.41,44.6,4.7
salalah,90,OM,1595078219,83,17.02,54.09,84.2,3.36
ilulissat,20,GL,1595078222,40,69.22,-51.1,51.8,13.87
ville-marie,1,CA,1595078482,77,47.33,-79.43,66.2,4.7
hebi,100,CN,1595078482,52,35.9,114.19,79.9,1.54
iqaluit,90,CA,1595078482,100,63.75,-68.51,46.4,12.75
attawapiskat,,CA,,,,,,
bell ville,100,AR,1595078482,98,-32.63,-62.69,53.01,3
husavik,75,IS,1595077948,75,66.04,-17.34,46.4,31.09
honiara,100,SB,1595078213,78,-9.43,159.95,78.1,3.58
avarua,67,CK,1595078483,72,-21.21,-159.78,68,3.36
worth,20,DE,1595078484,56,48.25,11.9,68,2.24
yellowknife,20,CA,1595078484,87,62.46,-114.35,59,2.24
maldonado,90,UY,1595078186,93,-34.67,-54.92,62.01,6.93
boali,75,CF,1595078484,100,4.8,18.13,71.6,3.36
vila franca do campo,75,PT,1595078485,77,37.72,-25.43,69.8,12.75
amderma,,RU,,,,,,
buala,95,SB,1595078485,79,-8.14,159.59,80.83,6.46
caravelas,100,BR,1595078485,56,-17.71,-39.25,74.8,7.74
tuskegee,1,US,1595078486,83,32.42,-85.69,80.01,2.89
port lincoln,11,AU,1595078486,83,-34.73,135.87,53.22,10.36
tiksi,100,RU,1595077887,80,71.69,128.87,51.24,20.45
labuhan,74,ID,1595078486,75,-6.88,112.21,79.23,7.23
carnarvon,0,AU,1595078486,71,-24.87,113.63,57.2,10.29
te anau,5,NZ,1595078486,92,-45.42,167.72,32.67,1.03
tiznit,0,MA,1595078486,10,29.58,-9.5,101.35,10.85
kirakira,100,SB,1595077996,81,-10.45,161.92,78.62,5.91
pangody,100,RU,1595078487,87,65.85,74.49,55.15,21.7
natal,90,BR,1595078487,94,-5.79,-35.21,73.4,9.17
deputatskiy,95,RU,1595078487,59,69.3,139.9,49.48,11.56
conil,,ES,,,,,,
taksimo,100,RU,1595078487,59,56.34,114.88,60.57,3.67
marzuq,,LY,,,,,,
canon city,20,US,1595078488,33,38.44,-105.24,71.6,8.03
ust-kamchatsk,,RU,,,,,,
bambous virieux,40,MU,1595078489,64,-20.34,57.76,72,17.22
thinadhoo,100,MV,1595078466,85,0.53,72.93,79.86,35.23
severo-kurilsk,53,RU,1595078489,89,50.68,156.12,48.09,10.63
kamenka,75,RU,1595077959,89,51.32,42.77,64,4
sao jose da coroa grande,98,BR,1595077935,75,-8.9,-35.15,77.14,14
muli,100,MV,1595078490,78,2.92,73.57,82.9,25.68
vila velha,75,BR,1595077898,78,-20.33,-40.29,75,3.36
ormond beach,40,US,1595078490,79,29.29,-81.06,84.99,8.05
sinnamary,1,GF,1595078490,80,5.38,-52.95,81.46,7.36
chiredzi,0,ZW,1595078491,33,-21.05,31.67,74.08,7.23
bichura,0,RU,1595078491,66,50.59,107.6,55.78,5.5
chuy,100,UY,1595078491,94,-33.7,-53.46,58.78,4.74
konstantinovskiy,75,RU,1595078491,72,57.83,39.59,66.2,8.95
dakar,40,SN,1595078491,70,14.69,-17.44,86,16.11
marcona,,PE,,,,,,
bilibino,92,RU,1595078492,82,68.05,166.44,54,5.88
caazapa,0,PY,1595078492,68,-26.15,-56.4,72.7,8.63
saint-georges,75,GF,1595078492,78,3.9,-51.8,82.4,4.7
gravdal,75,NO,1595078492,82,68.12,13.5,57.2,13.87
kutum,48,SD,1595078492,35,14.2,24.67,86.56,6.31
flinders,100,AU,1595078210,83,-34.58,150.86,50,1.99
olafsvik,100,IS,1595077932,76,64.89,-23.71,48.51,19.35
paradwip,,IN,,,,,,
auki,96,SB,1595078494,81,-8.77,160.7,78.64,3.6
sangar,44,RU,1595078494,98,63.92,127.47,58.95,4.83
zykovo,0,RU,1595078494,49,55.95,93.15,68,2.24
haines junction,100,CA,1595078494,74,60.75,-137.51,48.65,0.27
talara,75,PE,1595078495,93,-4.58,-81.27,60.8,24.16
safaga,0,EG,1595078495,22,26.73,33.94,96.8,16.11
homer,90,US,1595078346,87,59.64,-151.55,55.4,1.05
xixiang,100,CN,1595078496,99,35.16,112.86,78.01,3.33
souillac,40,MU,1595078496,64,-20.52,57.52,71.6,17.22
kitob,51,UZ,1595078496,11,39.08,66.83,99.99,8.39
yatou,100,CN,1595078006,95,37.15,122.38,69.1,15.7
tiarei,67,PF,1595078496,88,-17.53,-149.33,73,11.99
sola,20,VU,1595078496,100,-13.88,167.55,75.2,5.88
provideniya,99,RU,1595078497,86,64.38,-173.3,46.65,5.28
sumbe,4,AO,1595078497,67,-11.21,13.84,75.42,10.09
houlton,90,US,1595078454,93,46.13,-67.84,64,4.7
tumannyy,,RU,,,,,,
ponta do sol,20,PT,1595078497,69,32.67,-17.1,79,10.29
port hardy,75,CA,1595078255,93,50.7,-127.42,51.8,2.24
mount isa,0,AU,1595078497,27,-20.73,139.5,51.8,3.36
dzhusaly,,KZ,,,,,,
goderich,,SL,,,,,,
santarem,20,BR,1595078499,83,-2.44,-54.71,84.2,9.17
kaitangata,8,NZ,1595078499,90,-46.28,169.85,44.01,1.99
puerto escondido,5,MX,1595078019,78,15.85,-97.07,75.2,6.93
atherton,58,AU,1595078256,68,-17.27,145.48,66.2,4.7
porto belo,75,BR,1595078499,88,-27.16,-48.55,68,6.93
mago,0,RU,1595078500,93,53.25,140.18,59.52,2.98
bousso,26,TD,1595078500,56,10.48,16.71,87.04,3.09
la palma,100,PA,1595078500,92,8.4,-78.15,78.71,2.57
villamontes,54,BO,1595078500,55,-21.25,-63.5,75.2,3.58
east london,0,ZA,1595078500,22,-33.02,27.91,77,8.05
tsihombe,,MG,,,,,,
bukoba,28,TZ,1595078501,53,-1.33,31.81,73.4,20.8
ulladulla,100,AU,1595078501,76,-35.35,150.47,50,6.93
mayya,75,RU,1595078501,77,61.73,130.28,66.2,4.47
korla,100,CN,1595078394,14,41.76,86.15,94.08,5.12
oranjemund,0,NA,1595078501,19,-28.55,16.43,75.69,5.55
lagoa,10,PT,1595077933,79,39.05,-27.98,69.78,11.74
havre,0,US,1595078502,86,48.55,-109.68,55,10
hambantota,90,LK,1595078502,94,6.12,81.12,80.6,9.17
mogochin,,RU,,,,,,
khatanga,96,RU,1595078502,80,71.97,102.5,49.05,4.7
galich,1,RU,1595078502,85,58.38,42.35,66.79,6.04
upernavik,1,GL,1595078503,53,72.79,-56.15,48.13,3.56
bandar-e anzali,75,IR,1595078504,66,37.47,49.46,87.8,6.93
sulangan,100,PH,1595078504,71,11.14,123.72,84.49,10.09
acarau,0,BR,1595078504,61,-2.89,-40.12,83.91,13.98
saldanha,0,ZA,1595078505,63,-33.01,17.94,66.2,5.82
victor harbor,0,AU,1595078259,91,-35.57,138.62,48,8.68
oume,75,CI,1595078505,83,6.38,-5.42,80.6,9.17
dubbo,100,AU,1595078505,93,-32.25,148.62,41,9.17
huaraz,0,PE,1595078505,41,-9.53,-77.53,53.74,8.19
gorontalo,93,ID,1595077991,88,0.54,123.06,76.17,3.42
pilar do sul,0,BR,1595078506,63,-23.81,-47.72,70.47,2.53
bowmore,,GB,,,,,,
constitucion,20,MX,1595078506,100,23.99,-104.67,59,1.01
russell,5,NZ,1595078507,3,-35.26,174.12,60.01,7
geraldton,0,AU,1595078507,93,-28.77,114.6,50,4.7
buraydah,0,SA,1595078507,14,26.33,43.98,109.4,13.87
halalo,,WF,,,,,,
jaisalmer,100,IN,1595078507,38,26.91,70.92,100.98,14.72
dingle,75,IE,1595078508,67,52.14,-10.27,60.8,8.05
brae,20,GB,1595078508,76,60.4,-1.35,57.2,17.22
jinchang,0,CN,1595078508,19,38.5,102.17,75.65,6.04
manadhoo,99,MV,1595078509,75,5.77,73.38,83.89,18.99
cabo san lucas,20,MX,1595078466,69,22.89,-109.91,82.99,8.05
coquimbo,100,CL,1595078510,87,-29.95,-71.34,48.2,10.29
bathsheba,40,BB,1595078510,66,13.22,-59.52,86,14.99
severo-yeniseyskiy,31,RU,1595078510,63,60.37,93.04,53.06,5.84
svetlogorsk,1,RU,1595078510,47,54.94,20.15,78.8,8.95
tevaitoa,100,PF,1595078250,82,-16.78,-151.5,76.06,23.62
san anselmo,40,US,1595078511,93,37.97,-122.56,57.99,3.38
port blair,0,IN,1595078511,76,11.67,92.75,83.01,6.35
mattru,100,SL,1595078511,92,7.62,-11.83,74.59,1.77
samarai,99,PG,1595077937,85,-10.62,150.67,76.46,14.2
namibe,0,AO,1595078239,73,-15.2,12.15,75.2,5.82
zarand,0,IR,1595078512,12,30.81,56.56,92.7,20.98
esperance,90,AU,1595078512,100,-33.87,121.9,51.8,6.93
banjar,20,ID,1595078512,100,-8.19,114.97,80.6,10.29
victoria,100,AR,1595078512,99,-32.62,-60.15,55.99,1.99
laguna,0,BR,1595077826,78,-28.48,-48.78,66.45,12.12
cidreira,74,BR,1595078513,80,-30.18,-50.21,66.61,7.76
tabiauea,,KI,,,,,,
mersing,100,MY,1595078513,100,2.43,103.84,75.2,3.36
codrington,,AG,,,,,,
nizhneyansk,,RU,,,,,,
pevek,0,RU,1595078513,72,69.7,170.31,43.03,7.05
grand gaube,0,MU,1595078513,59,-20.01,57.66,72,10
berlevag,100,NO,1595078252,83,70.86,29.09,51.75,7.23
porto nacional,20,BR,1595078515,51,-10.71,-48.42,82.4,17.22
meyungs,,PW,,,,,,
lata,,SB,,,,,,
severnyy-kospashskiy,6,RU,1595078515,52,59.09,57.8,75,7.23
san policarpo,100,PH,1595078515,79,12.18,125.51,82.53,7.58
sao filipe,39,CV,1595077954,75,14.9,-24.5,75.56,13.47
ambilobe,49,MG,1595078516,45,-13.2,49.05,80.98,4.27
gazojak,0,TM,1595078516,7,41.19,61.4,105.42,14.65
hay river,40,CA,1595078516,87,60.82,-115.8,57.2,4.7
pafos,20,CY,1595078516,58,34.77,32.42,87.01,6.93
faanui,100,PF,1595078516,85,-16.48,-151.75,75.69,23.85
la ronge,90,CA,1595078516,100,55.1,-105.28,57.2,2.24
partenit,29,UA,1595078516,65,44.58,34.34,74.28,2.66
slave lake,90,CA,1595078517,87,55.28,-114.77,57.2,21.92
mkuranga,40,TZ,1595078517,45,-7.12,39.21,82.4,9.17
phun phin,,TH,,,,,,
road town,75,VG,1595078471,66,18.42,-64.62,84.99,5.82
mahajanga,20,MG,1595078517,29,-15.72,46.32,87.8,9.17
kodiak,90,US,1595078510,87,57.79,-152.41,55.4,3.36
malanje,75,AO,1595078517,73,-9.54,16.34,73.4,9.17
kiunga,100,PG,1595078518,97,-6.12,141.29,73.22,3.29
trairi,35,BR,1595078518,57,-3.28,-39.27,84.97,12.44
saint-pierre,94,PM,1595078519,82,46.77,-56.17,60.8,5.82
quatre cocos,40,MU,1595077937,60,-20.21,57.76,73.4,12.75
cukai,96,MY,1595078520,88,4.25,103.42,80.6,4.7
carmelo,90,UY,1595078520,93,-33.99,-58.29,57.2,4.7
kaeo,42,NZ,1595077952,3,-35.1,173.78,60.01,7
saint-joseph,20,RE,1595078520,60,-21.37,55.62,71.6,18.34
manakara,0,MG,1595078520,66,-22.13,48.02,70.57,10.13
cananeia,11,BR,1595078522,77,-25.01,-47.93,68.54,1.59
nabire,100,ID,1595078522,87,-3.37,135.48,74.88,3.02
suhbaatar,100,MN,1595078522,54,50.23,106.21,61.21,5.59
nioro,,ML,,,,,,
palmer,90,US,1595077952,100,42.16,-72.33,73,2.28
miri,40,MY,1595078522,83,4.41,114.01,84.2,3.36
shatalovo,19,RU,1595078523,62,54.33,32.45,70.68,7.87
kracheh,,KH,,,,,,
amahai,80,ID,1595078523,87,-3.33,128.92,77.16,4.83
ivaipora,0,BR,1595078523,73,-24.25,-51.68,68.52,6.24
grand river south east,,MU,,,,,,
heihe,100,CN,1595078523,83,50.24,127.49,77,8.95
cockburn town,27,TC,1595078524,75,21.46,-71.14,83.19,15.28
salinas,90,EC,1595078524,88,-2.22,-80.97,71.6,8.05
lucani,90,RS,1595078524,100,43.86,20.14,66.2,4.7
broken hill,0,AU,1595078524,32,-31.95,141.43,55.4,9.17
destin,1,US,1595078306,79,30.39,-86.5,84.2,5.82
sorvag,,FO,,,,,,
san quintin,25,MX,1595078526,92,30.48,-115.95,65.55,7.49
ondjiva,0,AO,1595078526,17,-17.07,15.73,71.6,16.11
airai,,PW,,,,,,
daytona beach,75,US,1595078329,79,29.21,-81.02,84.99,10.29
aktau,0,KZ,1595078526,70,43.65,51.2,84.2,17.9
walvis bay,0,NA,1595078427,9,-22.96,14.51,89.6,4.7
tondano,20,ID,1595078527,88,1.3,124.91,77,2.24
college,75,US,1595078527,87,64.86,-147.8,57.2,4.7
batagay-alyta,100,RU,1595078527,93,67.8,130.41,54.03,4.18
lodja,70,CD,1595078527,23,-3.48,23.43,91.35,4.18
naron,0,ES,1595078527,45,43.52,-8.15,84.2,8.05
evansville,1,US,1595078415,78,37.97,-87.56,78.8,6.93
sentyabrskiy,,RU,,,,,,
yulara,0,AU,1595078528,26,-25.24,130.99,55.4,3.36
gamba,0,GA,1595078528,69,-2.65,10,77.65,10.22
kuytun,,CN,,,,,,
talnakh,90,RU,1595078528,71,69.49,88.4,55.4,8.95
yenagoa,100,NG,1595078528,80,4.92,6.26,81.09,7.25
rolim de moura,,BR,,,,,,
gizo,100,SB,1595078528,75,-8.1,156.84,82.02,6.02
banjarmasin,90,ID,1595078529,100,-3.32,114.59,75.2,2.24
toora-khem,0,RU,1595078529,51,52.47,96.11,61.56,5.79
kodinsk,65,RU,1595078529,59,58.69,99.18,57.63,5.7
safranbolu,20,TR,1595078530,69,41.25,32.69,78.8,12.75
stettler,90,CA,1595078530,92,52.32,-112.72,50.45,10.27
yashkino,0,RU,1595078531,43,55.87,85.43,73.4,6.71
lunca,75,RO,1595078531,49,43.83,24.77,84,11.41
chipata,63,ZM,1595078531,50,-13.63,32.65,64.06,10.42
lloydminster,75,CA,1595078531,82,53.28,-110,55.4,12.75
burns lake,100,CA,1595078531,87,54.23,-125.75,47.37,3.06
milingimbi,,AU,,,,,,
bud,75,NO,1595078532,82,62.91,6.91,60.8,8.05
zigong,100,CN,1595078532,73,29.34,104.78,75.56,7.47
namatanai,100,PG,1595077965,79,-3.67,152.43,79.54,6.31
balkanabat,33,TM,1595078003,17,39.51,54.37,102.94,12.55
xiongyue,100,CN,1595078532,72,40.18,122.12,73.36,4.68
rodrigues alves,0,BR,1595078532,72,-7.74,-72.65,78.93,1.66
bac lieu,87,VN,1595077936,75,9.29,105.72,83.14,6.26
lolua,,TV,,,,,,
sitka,90,US,1595078533,93,57.05,-135.33,55.4,5.82
pisco,75,PE,1595077978,77,-13.7,-76.22,60.8,4.7
atasu,100,KZ,1595078533,62,48.68,71.64,73.4,8.48
solnechnyy,87,RU,1595078533,93,50.72,136.63,69.19,3.74
rio cuarto,68,AR,1595078295,93,-33.13,-64.35,41,5.82
porto real,5,BR,1595078534,65,-22.42,-44.29,71.42,2.1
umzimvubu,,ZA,,,,,,
port hedland,99,AU,1595078535,60,-20.32,118.57,68,16.11
davila,40,PH,1595078535,84,18.47,120.58,86,3.36
gat,,LY,,,,,,
nanortalik,49,GL,1595078535,62,60.14,-45.24,48.79,2.53
nyarlorinc,75,HU,1595078535,68,46.86,19.88,72,4.7
najran,40,SA,1595078536,19,17.49,44.13,100.4,4.7
yuzhno-yeniseyskiy,,RU,,,,,,
ushtobe,12,KZ,1595078536,18,45.25,77.98,96.42,10.49
lompoc,90,US,1595078536,87,34.64,-120.46,57.2,3.36
kupang,20,ID,1595078536,65,-10.17,123.58,77,10.29
ilorin,100,NG,1595078536,62,8.5,4.55,84.27,7.54
vostok,0,RU,1595078536,85,46.49,135.88,65.7,1.52
rancho palos verdes,0,US,1595078536,92,33.74,-118.39,64,7.16
dwarka,0,IN,1595078537,80,22.24,68.97,86.05,17.78
iberia,0,PE,1595078537,66,-11.35,-69.58,79.65,0.02
rio gallegos,40,AR,1595078537,93,-51.62,-69.22,35.6,8.05
menzelinsk,20,RU,1595078537,50,55.73,53.1,75.2,8.95
umm kaddadah,11,SD,1595078537,27,13.6,26.69,95.36,2.93
dalvik,75,IS,1595078537,75,65.97,-18.53,46.4,31.09
dhidhdhoo,100,MV,1595078537,77,6.88,73.1,82.89,18.12
indramayu,21,ID,1595078537,76,-6.33,108.32,81.5,7.85
yashan,100,CN,1595078538,80,22.2,109.94,81.66,7.31
anshun,100,CN,1595078539,87,26.25,105.93,70.61,10.36
luderitz,0,NA,1595077959,21,-26.65,15.16,73.85,6.06
micheweni,98,TZ,1595078539,59,-4.97,39.83,79.07,18.81
fukue,100,JP,1595078539,85,32.69,128.84,75.27,7.25
sao joao da barra,40,BR,1595078539,53,-21.64,-41.05,77,13.87
knysna,0,ZA,1595078539,48,-34.04,23.05,66.2,14.99
broadstairs,100,GB,1595078328,73,51.36,1.44,73.99,13
abu dhabi,100,AE,1595077731,60,24.47,54.37,100.4,12.75
manitouwadge,90,CA,1595078540,88,49.12,-85.84,64.4,5.82
san lazaro,,PY,,,,,,
kalmunai,100,LK,1595078540,78,7.42,81.82,83.64,10.47
lasa,,CN,,,,,,
nuuk,75,GL,1595078540,42,64.18,-51.72,62.6,3.36
